project_id,project_name,project_description,project_field_of_view,project_method,project_countries,project_protocol,project_global_region,project_organisations,site_id,site_name,site_latitude,site_longitude,site_depth,site_country,site_reef_name,site_exposure,site_reef_type,site_reef_zone,site_code,site_management,site_local_region,site_country_region,survey_id,survey_title,survey_description,survey_start_date (UTC),survey_collection_method,survey_depth,survey_transect_number,image_id,image_name,image_path,image_height,image_width,image_latitude,image_longitude,image_quality,image_disabled,point_id,point_num,point_machine_benthic_id,point_human_benthic_id,point_machine_classification,point_human_classification,point_machine_group_code,point_human_group_code,point_machine_benthic_code,point_human_benthic_code,QC_annotation,point_tags,point_coordinate,point_model_confidence,point_modified_by_displayname,point_modified_by_username,point_modified_by_email,model_data
1429,Tonga Benthic Surveys,National benthic surveys,50-100cm,"[""Dive""]","[""Tonga""]","[""Photo transects""]","[""Pacific""]","[""James Cook University"", ""Ministry of Fisheries - Tonga""]",43044,Haatafu FHR Town,-21.07089,-175.318779,5,Tonga,NA,Very Sheltered,fringing,fore reef,NA,FHR_2017,NA,Tongatapu,73865,Tongatapu_Haatafu FHR Town_2024_Transect_4,NA,2024-09-27 13:59:00+00:00,Dive,2,4,5103127,P9276232.JPG,surveys/tonga-benthic-surveys/73865/cdf5eaea-f804-44e2-8ce4-0fdfb9a3df98/P9276232.JPG,3000,4000,NA,NA,NA,FALSE,224330098,26,3530,NA,rub_loose,,substrate,,Rubble,,,,"1475, 813",NA,,,,
1429,Tonga Benthic Surveys,National benthic surveys,50-100cm,"[""Dive""]","[""Tonga""]","[""Photo transects""]","[""Pacific""]","[""James Cook University"", ""Ministry of Fisheries - Tonga""]",43074,Kotu FHR 1,-19.933275,-174.79459,4,Tonga,NA,Exposed,barrier,fore reef,NA,FHR_2015,NA,Haapai,56031,Haapai_Kotu FHR 1_2018_Transect_3,NA,2018-08-06 11:00:00+00:00,Dive,4,3,4170888,DSCN0265.JPG,surveys/tonga-benthic-surveys/56031/a7b2b036-7527-4c40-a5b4-d8ea90936521/DSCN0265.JPG,3456,4608,NA,NA,NA,FALSE,177719315,38,3291,NA,cca,,algae,,Crustose coralline algae,,,,"1754, 1213",NA,,,,
1429,Tonga Benthic Surveys,National benthic surveys,50-100cm,"[""Dive""]","[""Tonga""]","[""Photo transects""]","[""Pacific""]","[""James Cook University"", ""Ministry of Fisheries - Tonga""]",47084,HTHH 1_2024,-20.534107,-175.383618,14,Tonga,NA,Exposed,fringing,fore reef,NA,Open,NA,Haapai,73876,HTHH 1_2024_Transect_3,NA,2024-09-17 08:46:00+00:00,Dive,11.4,3,5103545,P9171789.JPG,surveys/tonga-benthic-surveys/73876/e55c720c-aa06-49db-aa33-df1d60c4c1f7/P9171789.JPG,3000,4000,NA,NA,NA,FALSE,224350990,35,3534,NA,sand,,substrate,,Sand,,,,"1592, 426",NA,,,,
1429,Tonga Benthic Surveys,National benthic surveys,50-100cm,"[""Dive""]","[""Tonga""]","[""Photo transects""]","[""Pacific""]","[""James Cook University"", ""Ministry of Fisheries - Tonga""]",43189,Ovaka SMA 2,-18.74981667,-174.1065167,6,Tonga,NA,Exposed,fringing,fore reef,NA,SMA_2008,NA,Vavau,74112,Vavau_Ovaka SMA 2_2024_Transect_2,NA,2024-10-31 09:41:00+00:00,Dive,5.5,2,5111143,PA312418.JPG,surveys/tonga-benthic-surveys/74112/193eb318-ccf7-472e-a7b5-87f4d589b458/PA312418.JPG,3000,4000,NA,NA,NA,FALSE,224724192,20,3594,NA,ta,,algae,,Turf algae,,,,"2484, 574",NA,,,,
1429,Tonga Benthic Surveys,National benthic surveys,50-100cm,"[""Dive""]","[""Tonga""]","[""Photo transects""]","[""Pacific""]","[""James Cook University"", ""Ministry of Fisheries - Tonga""]",42983,Atata SMA 2,-21.054152,-175.245776,5,Tonga,NA,Semi-exposed,fringing,fore reef,NA,SMA_2008,NA,Tongatapu,73428,Tongatapu_Atata SMA 2_2024_Transect_1,NA,2024-09-23 13:24:00+00:00,Dive,2.5,1,5097497,P9230924.JPG,surveys/tonga-benthic-surveys/73428/7b9b71bb-4b06-4e3d-935b-3b9ec92edb5d/P9230924.JPG,3000,4000,NA,NA,NA,FALSE,224054440,18,3594,NA,ta,,algae,,Turf algae,,,,"2174, 2647",NA,,,,
1429,Tonga Benthic Surveys,National benthic surveys,50-100cm,"[""Dive""]","[""Tonga""]","[""Photo transects""]","[""Pacific""]","[""James Cook University"", ""Ministry of Fisheries - Tonga""]",43030,Ha'ano FHR,-19.667683,-174.293536,7,Tonga,NA,Semi-exposed,fringing,fore reef,NA,FHR_2018,NA,Haapai,55875,Haapai_Ha'ano FHR_2018_Transect_4,NA,2018-07-06 14:30:00+00:00,Dive,7,4,4185351,IMG_2198.JPG,surveys/tonga-benthic-surveys/55875/466edeed-df13-4239-b9ae-90dcde0068ab/IMG_2198.JPG,3456,5184,NA,NA,NA,FALSE,178441274,47,3563,NA,sponge_erect,,other  invertebrate,,Porifera (Sponges),,,,"3441, 1608",NA,,,,
1429,Tonga Benthic Surveys,National benthic surveys,50-100cm,"[""Dive""]","[""Tonga""]","[""Photo transects""]","[""Pacific""]","[""James Cook University"", ""Ministry of Fisheries - Tonga""]",43004,Fafa control close,-21.081875,-175.153912,3,Tonga,NA,Very Sheltered,fringing,fore reef,NA,Open,NA,Tongatapu,73597,Tongatapu_Fafa control close_2024_Transect_3,NA,2024-10-01 13:37:00+00:00,Dive,3.5,3,5099704,PA012319.JPG,surveys/tonga-benthic-surveys/73597/fb1e0d29-aed9-4c6c-ad20-8bafdc54fea2/PA012319.JPG,3000,4000,NA,NA,NA,FALSE,224164808,36,3594,NA,ta,,algae,,Turf algae,,,,"2189, 2084",NA,,,,
1429,Tonga Benthic Surveys,National benthic surveys,50-100cm,"[""Dive""]","[""Tonga""]","[""Photo transects""]","[""Pacific""]","[""James Cook University"", ""Ministry of Fisheries - Tonga""]",43070,Kelefesia Open Control,-20.478811,-174.783666,6.5,Tonga,NA,Exposed,fringing,fore reef,NA,Open,NA,Haapai,56019,Haapai_Kelefesia Open Control_2018_Transect_1,NA,2018-10-29 13:00:00+00:00,Dive,6.5,1,4170683,DSCN9537.JPG,surveys/tonga-benthic-surveys/56019/099df723-988f-41e1-8104-9a326c15cb44/DSCN9537.JPG,3456,4608,NA,NA,NA,FALSE,177708923,46,3417,NA,ma_calc,,algae,,Macroalgae,,,,"3185, 2774",NA,,,,
1429,Tonga Benthic Surveys,National benthic surveys,50-100cm,"[""Dive""]","[""Tonga""]","[""Photo transects""]","[""Pacific""]","[""James Cook University"", ""Ministry of Fisheries - Tonga""]",43098,Mango FHR Far,-20.317657,-174.715213,5,Tonga,NA,Exposed,patch,fore reef,NA,FHR_2017,NA,Haapai,73935,Haapai_Mango FHR Far_2024_Transect_2,NA,2024-09-11 15:00:00+00:00,Dive,6,2,5105700,P9110580.JPG,surveys/tonga-benthic-surveys/73935/c036afe5-1db3-4708-87ec-d8c5aea37514/P9110580.JPG,3000,4000,NA,NA,NA,FALSE,224452184,12,3594,NA,ta,,algae,,Turf algae,,,,"1534, 2353",NA,,,,
1429,Tonga Benthic Surveys,National benthic surveys,50-100cm,"[""Dive""]","[""Tonga""]","[""Photo transects""]","[""Pacific""]","[""James Cook University"", ""Ministry of Fisheries - Tonga""]",43025,Fonoi SMA far,-20.290805,-174.639774,6,Tonga,NA,Exposed,patch,fore reef,NA,SMA_2017,NA,Haapai,73848,Haapai_Fonoi SMA far_2024_Transect_3,NA,2024-09-12 09:50:00+00:00,Dive,5.5,3,5102533,P9120998.JPG,surveys/tonga-benthic-surveys/73848/4c2ea63b-1ca3-4e39-a1d1-def159d927ba/P9120998.JPG,3000,4000,NA,NA,NA,FALSE,224300236,14,3508,NA,porites_mas,,hard coral,,Porites,,,,"2499, 1986",NA,,,,
